id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,nombre,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas
78525,62127,2026-10-05,475000,7,No disponible,665,Casa en El Puerto de Santa María,El Puerto de Santa María,95000,3,2026-11-15,2026-11-20,
78575,62439,2026-07-29,213000,6,No disponible,426,Hostal en Torrelavega,Torrelavega,71000,1,2026-07-30,2026-08-02,
78604,58541,2025-10-24,840000,6,No disponible,168,Kimpton Hotels & Restaurants,Viladecans,28000,2,2026-08-07,2026-08-12,
78811,64406,2025-01-10,548000,9,No disponible,1233,Loft en Valdemoro,Valdemoro,137000,4,2025-01-11,2025-01-15,
79082,56732,2026-07-04,725000,1,No disponible,145,Radisson Hotel Group,Santa Lucía de Tirajana,145000,3,2026-10-10,2026-10-15,
79177,61071,2025-03-25,826000,7,No disponible,413,,Alicante,59000,2,2025-04-03,2025-04-05,
79379,62695,2025-08-22,686000,3,No disponible,294,Habitación en Burgos,Burgos,98000,3,2026-06-15,2026-06-22,
79548,63622,2025-07-18,720000,7,No disponible,1008,Hostal en Alcoy,Alcoy,144000,2,2025-10-17,2025-10-22,
79960,62216,2025-03-16,26000,2,No disponible,52,Hostal en Estepona,Estepona,26000,1,2025-04-26,2025-04-27,
80379,60152,2025-10-10,1107000,9,No disponible,369,Drury Hotels,Tarrasa,41000,3,2026-02-03,2026-02-06,
81219,61751,2025-03-22,1236000,6,No disponible,618,InterContinental Hotels Group (IHG),Cáceres,103000,2,2026-10-19,2026-10-21,
81799,61170,2025-03-20,980000,4,No disponible,560,Cabaña en Cádiz,Cádiz,140000,4,2025-04-26,2025-05-03,
81904,62820,2025-06-13,140000,6,No disponible,420,Hostal en Guadalajara,Guadalajara,70000,4,2026-08-26,2026-08-28,
155630,,,,,Disponible,0,Suite en Córdoba,Córdoba,136000,4,2026-03-20,2026-08-06,
82143,66021,2025-11-23,208000,10,No disponible,1040,Suite en Tarrasa,Tarrasa,104000,2,2026-07-28,2026-07-30,
82358,61777,2025-07-23,1575000,5,No disponible,525,MGM Resorts International,Badajoz,105000,3,2025-11-30,2025-12-03,
82577,63202,2025-03-03,750000,5,No disponible,375,The Ritz-Carlton,Arrecife,75000,2,2025-03-16,2025-03-18,
82805,66588,2025-03-17,2125000,5,No disponible,425,Aman Resorts,Castellón de la Plana,85000,2,2025-05-19,2025-05-24,
82811,61660,2025-04-20,128000,1,No disponible,32,Habitación en Getafe,Getafe,32000,2,2025-09-30,2025-10-04,
83284,56787,2026-02-14,137000,3,No disponible,411,Residencia en Sagunto,Sagunto,137000,2,2026-07-14,2026-07-15,
83568,60025,2025-01-14,4700000,10,No disponible,940,Aman Resorts,Alcalá de Henares,94000,3,2025-08-25,2025-08-30,
83627,63025,2025-03-02,1452000,4,No disponible,484,Loews Hotels,Barcelona,121000,5,2025-05-16,2025-05-19,
83761,57698,2025-01-29,1911000,7,No disponible,273,Kimpton Hotels & Restaurants,Santiago de Compostela,39000,1,2025-05-20,2025-05-27,
83946,59376,2025-03-09,354000,9,No disponible,531,Departamento en Torrevieja,Torrevieja,59000,1,2025-07-18,2025-07-24,
83984,59753,2026-04-14,232000,2,No disponible,116,NH Hotel Group,Leganés,58000,4,2026-11-03,2026-11-05,
84442,62894,2025-02-26,1890000,10,No disponible,270,Marriott International,Telde,27000,3,2025-05-26,2025-06-02,
84479,57402,2025-02-19,3720000,8,No disponible,744,The Ritz-Carlton,Roquetas de Mar,93000,3,2025-12-07,2025-12-12,
84616,56052,2026-02-08,224000,1,No disponible,56,Hostal en San Sebastían de los Reyes,San Sebastían de los Reyes,56000,3,2026-06-06,2026-06-10,
85136,58213,2025-02-06,84000,10,No disponible,210,Estudio en Madrid,Madrid,21000,2,2025-09-02,2025-09-06,
85693,66585,2025-03-03,25000,8,No disponible,200,Habitación en Pontevedra,Pontevedra,25000,5,2026-09-12,2026-09-13,
85864,57745,2025-03-13,2940000,7,No disponible,420,Hyatt Hotels Corporation,Mérida,60000,3,2026-07-30,2026-08-06,
85884,61081,2025-01-01,280000,8,No disponible,1120,Suite en Cuenta,Cuenta,140000,4,2025-01-12,2025-01-14,
86024,64601,2025-02-17,426000,7,No disponible,497,Residencia en Motril,Motril,71000,2,2025-03-29,2025-04-04,
86259,64359,2026-01-06,435000,7,No disponible,609,Villa en Bilbao,Bilbao,87000,1,2026-11-07,2026-11-12,
86966,57252,2025-12-06,1710000,6,No disponible,570,Marriott International,Vitoria,95000,2,2026-08-20,2026-08-23,
86986,58186,2025-03-11,360000,6,No disponible,432,Hostal en Rubí,Rubí,72000,1,2025-03-22,2025-03-27,
87027,64687,2025-12-17,3213000,9,No disponible,459,MGM Resorts International,Gerona,51000,3,2026-11-23,2026-11-30,
87066,55532,2025-01-10,376000,2,No disponible,188,Choice Hotels International,Alcoy,94000,2,2025-01-11,2025-01-13,
87085,58366,2025-05-31,3650000,10,No disponible,730,Four Seasons Hotels & Resorts,Burgos,73000,4,2026-03-26,2026-03-31,
88180,61032,2025-09-03,1000000,8,No disponible,1000,Wyndham Hotels & Resorts,Talavera de la Reina,125000,4,2026-03-20,2026-03-21,
88798,57576,2025-02-11,496000,5,No disponible,620,Residencia en Zaragoza,Zaragoza,124000,4,2025-07-30,2025-08-03,
88996,55759,2024-12-31,816000,3,No disponible,204,Wyndham Hotels & Resorts,Talavera de la Reina,68000,5,2025-01-01,2025-01-05,
89129,56425,2025-01-13,702000,3,No disponible,117,,Salamanca,39000,4,2026-04-02,2026-04-08,
89402,65238,2025-08-16,305000,1,No disponible,61,Kimpton Hotels & Restaurants,Ferrol,61000,2,2025-09-05,2025-09-10,
89489,63699,2026-04-21,5112000,6,No disponible,852,Red Lion Hotels Corporation,Ávila,142000,2,2026-05-18,2026-05-24,
