id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,empresa,nombre,descripcion,ubicacion,duracion,precio_persona,capacidad,restricciones,fecha_panorama
78416,63299,2026-08-15,80000,8,No disponible,80,Abercrombie & Kent,,Aventúrate en la montaña,Santa Lucía de Tirajana,,10000,,{},2026-08-23
78448,56422,2025-07-20,1232000,8,No disponible,176,,,,Badajoz,,,,{},
78449,56422,2025-01-17,272000,8,No disponible,272,Intrepid Travel,Tour,,Badajoz,6,,31,,2026-02-26
78463,58690,2025-12-15,240000,2,No disponible,60,,,,Murcia,,,,{},
78472,64869,2026-06-21,784000,7,No disponible,784,AVE,,,,,,34,,
78474,64869,2025-05-10,121000,7,No disponible,847,,,Ubicación céntrica con fácil acceso a atracciones turísticas,Mataró,,,,,
78495,58036,2025-05-13,615000,9,No disponible,1107,,,Ideal para una escapada romántica,Torrelavega,,,,{},
78500,57752,2025-01-04,1557000,9,No disponible,1557,Trenitalia,,,,,,46,{},
78501,57752,2025-01-25,2367000,9,No disponible,2367,ZS (Eslovenia),,,,,,43,{},
78510,57752,2025-05-23,738000,9,No disponible,738,,,,Murcia,,,,{},
78517,60218,2025-05-19,360000,3,No disponible,360,ÖBB (Austria),,,,,,31,{},
78523,62127,2025-04-09,644000,7,No disponible,644,ETN Turistar,,,,,,39,{},
78525,62127,2026-10-05,475000,7,No disponible,665,,,Experimenta el lujo y la comodidad en este alojamiento,El Puerto de Santa María,,,,{},
78534,61892,2025-01-17,54000,1,No disponible,54,Deutsche Bahn (DB),,,,,,83,{},
78538,61892,2025-03-03,63000,1,No disponible,63,Thomas Cook,,Descubre la gastronomía local,Palencia,6,63000,18,{},2025-07-13
78541,61892,2025-02-04,48000,1,No disponible,48,,Tour,Aventúrate en la montaña,Palencia,5,48000,17,,
78560,65378,2025-04-05,232000,8,No disponible,232,Amtrak,,,,,,39,{},
78561,65378,2025-04-24,584000,8,No disponible,584,,,,,,,,{},
78563,60241,2025-02-07,952000,7,No disponible,952,Flecha Bus,,,,,,50,{},
78567,64314,2025-02-08,4167000,9,No disponible,4167,,,,,,,48,{},
78568,64314,2025-01-26,6000,9,No disponible,54,,,Relájate en un lugar tranquilo y acogedor,Manresa,,,,{},
78574,62439,2026-03-13,270000,6,No disponible,270,CP (Portugal),,,,,,3,{},
78575,62439,2026-07-29,213000,6,No disponible,426,,,Ideal para una escapada romántica,Torrelavega,,,,{},
78579,55864,2025-06-16,375000,5,No disponible,375,Air New Zealand,,,,,,63,{},
78581,55864,2026-01-15,815000,5,No disponible,815,United Airlines,,,,,,84,{},
78592,57330,2025-01-10,300000,3,No disponible,300,ADO,,,,,,42,{},
78593,57330,2025-05-04,576000,3,No disponible,288,,,,La Coruña,,,,{},
78597,66568,2025-01-31,198000,2,No disponible,198,Buses Bio Bio,,,,,,,{},
