id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked
78415,63299,2025-05-13,-784000,,No disponible,896
78425,57773,2025-01-28,5208000,7,No disponible,-868
,57773,2025-07-10,672000,7,No disponible,672
78430,57773,2026-03-20,532000,7,No disponible,-532
78431,58310,2025-04-29,792000,6,No disponible,792
78432,58310,2025-06-29,-1974000,6,No disponible,282
78433,58310,2025-05-15,54000,6,No disponible,54
78434,58310,2025-02-02,,,No disponible,564
78435,58310,2025-06-27,492000,6,No disponible,492
78436,58310,2025-03-20,258000,6,No disponible,258
78437,58310,2025-02-01,372000,6,No disponible,372
78438,58310,2025-03-28,390000,6,No disponible,390
78439,58310,2025-08-04,888000,6,No disponible,888
78440,58310,2025-01-15,732000,6,No disponible,732
78442,65218,2025-01-10,505000,4,No disponible,
78444,65218,2026-03-01,380000,4,,380
78446,65218,2025-01-24,,4,No disponible,320
78447,56422,2025-03-16,,8,No disponible,1512
78450,56422,2025-01-31,584000,8,,584
78456,56422,2025-02-15,3480000,8,,696
78458,56422,2026-02-08,-432000,8,No disponible,432
78462,58690,2025-10-25,190000,2,No disponible,
,,,,,,
78464,58690,2025-03-06,34000,2,No disponible,-34
78466,58690,2025-08-11,182000,2,,182
78473,,2026-08-14,504000,7,No disponible,504
78475,59970,2025-10-26,188000,2,No disponible,-188
78476,59970,2025-12-23,-1056000,2,No disponible,176
78477,59970,2025-02-07,162000,,No disponible,162
78478,,2025-10-04,,2,No disponible,60
78479,59970,2025-07-05,82000,2,No disponible,-82
78483,60934,,1251000,9,No disponible,1251
78484,56258,2025-09-25,1557000,9,No disponible,1557
78485,56258,2025-01-02,495000,9,No disponible,495
78486,56258,2025-07-15,963000,9,No disponible,
78487,56258,2025-02-19,110000,9,No disponible,990
78488,64804,2025-04-07,200000,8,No disponible,-200
78489,64804,2025-01-23,1000000,8,No disponible,1000
,64804,2025-01-22,9000,8,No disponible,
78491,,2025-01-20,762000,3,No disponible,762
78494,58036,,1017000,9,No disponible,1017
78496,,2026-03-04,72000,9,No disponible,72
78497,58036,2025-03-05,261000,,No disponible,261
78499,58036,2026-01-14,747000,9,No disponible,-747
78537,61892,2025-04-14,61000,,No disponible,61
,,,,,,
,,,,,,
78502,,2025-02-08,1008000,9,No disponible,1296
78504,,2025-03-13,441000,9,No disponible,441
78506,57752,2025-02-21,711000,9,No disponible,
78512,60218,,1935000,3,No disponible,-387
78513,,2026-02-25,45000,3,No disponible,
78515,60218,2025-08-26,-195000,3,No disponible,195
78518,60218,2025-10-13,96000,3,No disponible,-288
78519,64386,2025-05-19,210000,1,,210
78520,,2025-02-25,119000,1,No disponible,119
,,2025-01-12,83000,1,No disponible,83
78530,61892,2025-02-22,302000,1,,302
78557,57365,2025-01-15,792000,8,No disponible,792
78531,61892,,-447000,1,No disponible,149
,,2025-06-29,100000,1,No disponible,100
,61892,2025-03-14,12000,1,No disponible,
78767,,2026-09-29,255000,3,,255
78539,,2025-03-16,87000,1,No disponible,87
78540,61892,2025-05-23,82000,,No disponible,82
78543,59050,2025-06-26,920000,8,No disponible,920
78544,59050,2025-01-14,960000,,No disponible,960
78545,59050,2025-03-14,5480000,8,No disponible,1096
78546,59050,2025-04-18,-672000,8,No disponible,672
78547,,2025-04-26,720000,8,No disponible,720
78548,59050,2025-07-04,296000,8,No disponible,296
78549,59050,2025-03-31,200000,8,,200
,61462,2025-10-27,1990000,10,No disponible,1990
78551,57365,2025-01-07,800000,8,No disponible,800
78552,57365,2025-04-25,4920000,8,No disponible,984
78553,57365,2025-03-25,-80000,8,No disponible,80
78554,57365,2025-01-15,208000,8,No disponible,208
78555,57365,2025-02-09,560000,8,No disponible,560
78556,57365,2025-04-15,744000,8,No disponible,744
,57365,2025-04-11,984000,8,No disponible,984
78559,57365,2025-02-27,1040000,8,No disponible,1040
,,2025-05-02,1000000,8,No disponible,1000
78564,61439,2025-01-15,2107000,7,No disponible,
78565,61439,2025-01-24,1974000,7,No disponible,1974
78569,,2025-04-04,98000,1,No disponible,98
78570,61764,2025-04-14,,1,No disponible,18
78571,61764,2025-02-11,50000,1,No disponible,50
78572,61764,2025-03-08,23000,1,No disponible,23
78573,66513,2025-06-01,1144000,8,No disponible,1144
,,,,,,
,,,,,,
78580,55864,2026-09-12,455000,5,No disponible,
78582,55864,2026-07-24,2280000,5,No disponible,
78583,,2026-08-05,85000,,No disponible,85
,55864,2025-09-07,185000,5,No disponible,185
78585,,,115000,5,No disponible,115
78586,56632,2025-02-26,125000,1,No disponible,125
78587,,2025-06-21,515000,1,No disponible,103
78588,56632,2025-06-27,54000,1,No disponible,54
78589,56632,2025-04-15,63000,1,No disponible,
78590,56632,2025-03-29,59000,,No disponible,59
78591,56632,2025-01-02,57000,1,No disponible,57
