name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-33.3537,-70.6811",2023-05-23,14,9.6,11.4,14,8.8,11.3,8.9,84.7,1.2,100,25,rain,0,0,19.1,20.5,72.3,1017.6,79.7,8.2,39.6,3.3,2,10,2023-05-23T07:32:22,2023-05-23T17:46:26,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-05-24,15,7,10.5,15,5.8,10.5,8.1,85.9,0,0,0,,0,0,20.2,13,161.5,1018.5,78,7.5,78.6,7,3,10,2023-05-24T07:33:02,2023-05-24T17:45:57,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-05-25,15,8.9,11.1,15,7.4,10.9,8.6,85.6,0.7,100,25,rain,0,0.1,20.9,18.4,325.9,1018.2,89.7,5.6,45.7,3.9,2,10,2023-05-25T07:33:42,2023-05-25T17:45:30,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-05-26,16.2,4.4,11,16.2,4.4,10.7,6.5,75.6,0,0,0,,0,0.1,23.8,24.1,172.6,1022.1,60.2,8.7,139.2,11.9,6,10,2023-05-26T07:34:21,2023-05-26T17:45:04,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-05-27,20,7,12.4,20,5.1,12.1,6.4,69.4,0,0,0,,0,0,16.6,14.8,138.9,1019.1,52.8,9,145.4,12.4,6,10,2023-05-27T07:34:59,2023-05-27T17:44:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-05-28,17,5,10.4,17,5,10.3,6.2,77.1,0,0,0,,0,0,16.6,13,185.4,1019.5,65.6,7.1,85,7.2,4,10,2023-05-28T07:35:37,2023-05-28T17:44:17,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-05-29,22.6,8.8,14.4,22.6,7.6,14.3,6.5,63.2,0,0,0,,0,0,17.3,15.5,163,1018,37.3,7.6,149.8,13,6,10,2023-05-29T07:36:14,2023-05-29T17:43:56,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-05-30,19.3,7,12.4,19.3,6.9,12.3,5.4,64.7,0,0,0,,0,0,15.8,13.2,168.3,1019.1,72.9,6.4,101.7,8.9,4,10,2023-05-30T07:36:51,2023-05-30T17:43:36,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-05-31,21.9,4.4,12.9,21.9,4.4,12.8,5.4,65.2,0,0,0,,0,0,18.7,22.5,188.5,1019.3,45.3,6.4,144.4,12.5,6,10,2023-05-31T07:37:26,2023-05-31T17:43:18,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-01,20,6,12.2,20,5.9,12.2,5.1,64.2,0,0,0,,0,0,22.7,17.5,166.1,1015.7,37.5,7.5,146.2,12.5,6,10,2023-06-01T07:38:02,2023-06-01T17:43:01,0.42,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-02,19.3,7,11.9,19.3,6.3,11.8,7.2,74.8,0.3,100,8.33,rain,0,0,29.2,22.2,168.8,1017.9,56.4,8.2,117.2,10.1,5,10,2023-06-02T07:38:36,2023-06-02T17:42:46,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-03,15.9,10,12.4,15.9,10,12.4,10,85.5,3,100,58.33,rain,0,0,20.2,15,180.2,1021.1,88.1,7.9,49.2,4.1,2,10,2023-06-03T07:39:09,2023-06-03T17:42:33,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-04,21.1,6.3,12.2,21.1,5.6,12.1,7.3,75.6,0,0,0,,0,0,20.9,16.2,117.2,1019.4,70,7.3,134.8,11.5,6,10,2023-06-04T07:39:42,2023-06-04T17:42:21,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
