name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,state
"-33.3537,-70.6811",2022-05-23,18.6,10.0,13.6,18.6,9.1,13.6,6.0,61.7,0.1,100.0,4.17,rain,0.0,0.0,17.6,20.5,201.1,1019.2,94.3,10.0,75.9,6.6,4.0,10.0,2022-05-23T07:32:31,2022-05-23T17:46:18,0.76,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"SCEL,85577099999,remote,85574099999",Rainy
"-33.3537,-70.6811",2022-05-24,19.1,9.0,13.7,19.1,9.0,13.7,7.5,67.5,0.0,0.0,0.0,,0.0,0.0,22.0,11.2,223.6,1018.8,90.7,9.5,117.3,10.1,6.0,10.0,2022-05-24T07:33:11,2022-05-24T17:45:50,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"SCEL,85577099999,85574099999",Foggy
"-33.3537,-70.6811",2022-05-25,20.0,6.6,13.1,20.0,6.6,13.0,7.8,71.8,0.0,0.0,0.0,,0.0,0.0,21.6,20.5,164.9,1018.3,31.6,8.1,152.7,13.2,6.0,10.0,2022-05-25T07:33:50,2022-05-25T17:45:23,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-05-26,16.3,4.0,9.5,16.3,4.0,9.2,6.7,83.6,0.0,0.0,0.0,,0.0,0.0,20.2,25.9,164.8,1017.9,38.9,5.7,117.6,10.2,5.0,10.0,2022-05-26T07:34:29,2022-05-26T17:44:57,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-05-27,13.0,3.0,7.9,13.0,1.7,7.6,5.6,86.5,0.0,0.0,0.0,,0.0,0.0,15.1,7.6,47.6,1018.5,65.9,3.9,70.3,6.1,3.0,10.0,2022-05-27T07:35:07,2022-05-27T17:44:33,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-05-28,12.1,6.0,8.9,12.1,5.2,8.4,5.6,80.8,0.0,0.0,0.0,,0.0,0.0,15.5,16.6,159.3,1016.4,86.5,4.2,54.3,4.6,2.0,10.0,2022-05-28T07:35:45,2022-05-28T17:44:11,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999",Cloudy
"-33.3537,-70.6811",2022-05-29,15.0,-0.1,6.5,15.0,-0.1,6.0,1.1,73.0,0.0,0.0,0.0,,0.0,0.0,22.0,18.4,169.4,1017.8,8.3,5.7,150.5,13.0,6.0,10.0,2022-05-29T07:36:22,2022-05-29T17:43:50,0.97,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-05-30,16.0,-2.0,5.9,16.0,-4.0,5.6,-2.3,61.2,0.0,0.0,0.0,,0.0,0.0,20.5,18.4,173.1,1017.8,4.9,7.4,154.1,13.5,6.0,10.0,2022-05-30T07:36:58,2022-05-30T17:43:31,0.0,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-05-31,14.2,-2.6,5.1,14.2,-2.9,4.5,-3.3,59.3,0.0,0.0,0.0,,0.0,0.0,20.9,18.4,163.4,1016.8,2.6,7.5,150.3,13.0,6.0,10.0,2022-05-31T07:37:34,2022-05-31T17:43:13,0.04,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999",Sunny
"-33.3537,-70.6811",2022-06-01,12.0,-2.0,5.2,12.0,-2.0,4.7,-0.8,67.2,0.6,100.0,8.33,rain,0.0,0.0,20.5,16.6,169.8,1018.6,36.6,7.7,145.9,12.6,6.0,10.0,2022-06-01T07:38:09,2022-06-01T17:42:57,0.07,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"SCEL,85577099999,85574099999",Rainy
