,"(0,0,0,0)","(A,0,0,0)","(B,0,0,0)","(A,A,0,0)","(A,B,0,0)","(B,B,0,0)","(A,A,A,0)","(A,A,B,0)","(A,B,A,0)","(A,B,B,0)","(B,B,A,0)","(B,B,B,0)","(A,A,A,B)","(A,A,B,B)","(A,B,A,B)","(A,B,B,B)","(B,B,A,B)","(B,B,B,B)"
"(0,0,0,0)",-lambda,lambda*p,lambda*(1 - p),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(A,0,0,0)",mu,-lambda - mu,0,lambda*p,lambda*(1 - p),0,0,0,0,0,0,0,0,0,0,0,0,0
"(B,0,0,0)",mu,0,-lambda - mu,0,lambda*p,lambda*(1 - p),0,0,0,0,0,0,0,0,0,0,0,0
"(A,A,0,0)",0,mu,0,-lambda - mu,0,0,lambda*p,lambda*(1 - p),0,0,0,0,0,0,0,0,0,0
"(A,B,0,0)",0,mu,mu,0,-lambda - 2*mu,0,0,0,lambda*p,lambda*(1 - p),0,0,0,0,0,0,0,0
"(B,B,0,0)",0,0,mu,0,0,-lambda - mu,0,0,0,0,lambda*p,lambda*(1 - p),0,0,0,0,0,0
"(A,A,A,0)",0,0,0,mu,0,0,lambda*(p - 1) - mu,0,0,0,0,0,lambda*(1 - p),0,0,0,0,0
"(A,A,B,0)",0,0,0,0,mu,0,0,lambda*(p - 1) - mu,0,0,0,0,0,lambda*(1 - p),0,0,0,0
"(A,B,A,0)",0,0,0,mu,mu,0,0,0,lambda*(p - 1) - 2*mu,0,0,0,0,0,lambda*(1 - p),0,0,0
"(A,B,B,0)",0,0,0,0,mu,mu,0,0,0,lambda*(p - 1) - 2*mu,0,0,0,0,0,lambda*(1 - p),0,0
"(B,B,A,0)",0,0,0,0,mu,0,0,0,0,0,lambda*(p - 1) - mu,0,0,0,0,0,lambda*(1 - p),0
"(B,B,B,0)",0,0,0,0,0,mu,0,0,0,0,0,-mu,0,0,0,0,0,0
"(A,A,A,B)",0,0,0,0,0,0,0,0,mu,0,0,0,-mu,0,0,0,0,0
"(A,A,B,B)",0,0,0,0,0,0,0,0,0,mu,0,0,0,-mu,0,0,0,0
"(A,B,A,B)",0,0,0,0,0,0,0,0,mu,0,mu,0,0,0,-2*mu,0,0,0
"(A,B,B,B)",0,0,0,0,0,0,0,0,0,mu,0,mu,0,0,0,-2*mu,0,0
"(B,B,A,B)",0,0,0,0,0,0,0,0,0,0,mu,0,0,0,0,0,-mu,0
"(B,B,B,B)",0,0,0,0,0,0,0,0,0,0,0,mu,0,0,0,0,0,-mu
