auto_id,tiempo_llegada,tiempo_salida,server_id
1,00:00:00,00:00:00,2
2,00:00:22,00:09:36,2
5,00:00:00,00:02:16,2
8,00:05:55,00:17:16,2
9,00:00:00,00:06:35,2
10,00:06:35,00:11:31,2
14,00:13:54,00:24:19,2
16,00:20:30,00:31:22,2
21,00:32:58,00:45:38,2
23,00:44:23,00:54:11,2
3,00:00:00,00:00:44,1
6,00:00:00,00:03:00,1
7,00:03:00,00:13:18,1
12,00:07:25,00:23:29,1
17,00:20:54,00:44:10,1
19,00:26:10,00:48:47,1
22,00:41:10,00:53:40,1
24,00:53:50,01:04:35,1
25,01:00:52,01:11:00,1
4,00:01:56,00:18:55,3
11,00:00:00,00:07:25,3
13,00:12:17,00:20:14,3
15,00:19:31,00:29:44,3
18,00:25:49,00:34:20,3
20,00:31:51,00:42:36,3
