Línea de tiempo de eventos actualizada (minutos desde inicio):

  0.00 min - Inicio atención (S2) (Auto ID 1)
  0.00 min - Fin atención (S2) (Auto ID 1)
  0.00 min - Inicio atención (S1) (Auto ID 3)
  0.00 min - Inicio atención (S2) (Auto ID 5)
  0.00 min - Inicio atención (S1) (Auto ID 6)
  0.00 min - Inicio atención (S2) (Auto ID 9)
  0.00 min - Inicio atención (S3) (Auto ID 11)
  0.00 min - Medición de cola: (2, 1, 1)
  0.37 min - Inicio atención (S2) (Auto ID 2)
  0.73 min - Fin atención (S1) (Auto ID 3)
  1.93 min - Inicio atención (S3) (Auto ID 4)
  2.27 min - Fin atención (S2) (Auto ID 5)
  3.00 min - Fin atención (S1) (Auto ID 6)
  3.00 min - Inicio atención (S1) (Auto ID 7)
  5.92 min - Inicio atención (S2) (Auto ID 8)
  6.58 min - Fin atención (S2) (Auto ID 9)
  6.58 min - Inicio atención (S2) (Auto ID 10)
  7.42 min - Fin atención (S3) (Auto ID 11)
  7.42 min - Inicio atención (S1) (Auto ID 12)
  9.60 min - Fin atención (S2) (Auto ID 2)
 11.52 min - Fin atención (S2) (Auto ID 10)
 12.28 min - Inicio atención (S3) (Auto ID 13)
 13.00 min - Medición de cola: (1, 1, 1)
 13.30 min - Fin atención (S1) (Auto ID 7)
 13.90 min - Inicio atención (S2) (Auto ID 14)
 17.27 min - Fin atención (S2) (Auto ID 8)
 18.92 min - Fin atención (S3) (Auto ID 4)
 19.52 min - Inicio atención (S3) (Auto ID 15)
 20.00 min - Medición de cola: (0, 0, 1)
 20.23 min - Fin atención (S3) (Auto ID 13)
 20.50 min - Inicio atención (S2) (Auto ID 16)
 20.50 min - Medición de cola: (1, 1, 2)
 20.90 min - Inicio atención (S1) (Auto ID 17)
 23.48 min - Fin atención (S1) (Auto ID 12)
 24.32 min - Fin atención (S2) (Auto ID 14)
 25.17 min - Medición de cola: (1, 1, 2)
 25.82 min - Inicio atención (S3) (Auto ID 18)
 26.17 min - Inicio atención (S1) (Auto ID 19)
 27.00 min - Medición de cola: (1, 1, 0)
 29.73 min - Fin atención (S3) (Auto ID 15)
 30.50 min - Medición de cola: (1, 1, 1)
 31.37 min - Fin atención (S2) (Auto ID 16)
 31.85 min - Inicio atención (S3) (Auto ID 20)
 32.97 min - Inicio atención (S2) (Auto ID 21)
 34.33 min - Fin atención (S3) (Auto ID 18)
 35.00 min - Medición de cola: (1, 1, 0)
 37.00 min - Medición de cola: (1, 1, 0)
 41.17 min - Inicio atención (S1) (Auto ID 22)
 42.60 min - Fin atención (S3) (Auto ID 20)
 44.00 min - Medición de cola: (1, 1, 0)
 44.17 min - Fin atención (S1) (Auto ID 17)
 44.38 min - Inicio atención (S2) (Auto ID 23)
 45.63 min - Fin atención (S2) (Auto ID 21)
 45.63 min - Medición de cola: (0, 0, 0)
 45.88 min - Medición de cola: (1, 0, 0)
 48.78 min - Fin atención (S1) (Auto ID 19)
 53.00 min - Medición de cola: (2, 0, 0)
 53.67 min - Fin atención (S1) (Auto ID 22)
 53.83 min - Inicio atención (S1) (Auto ID 24)
 54.18 min - Fin atención (S2) (Auto ID 23)
 60.00 min - Medición de cola: (0, 0, 0)
 60.87 min - Inicio atención (S1) (Auto ID 25)
 64.58 min - Fin atención (S1) (Auto ID 24)
 71.00 min - Fin atención (S1) (Auto ID 25)
